range,song_name,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
long_term,Feel No Ways,Drake,0.0319,https://api.spotify.com/v1/audio-analysis/3cjF2OFRmip8spwZYQRKxP,0.589,240653.0,0.673,3cjF2OFRmip8spwZYQRKxP,5.68e-06,7.0,0.108,-7.082,1.0,0.167,193.783,4.0,https://api.spotify.com/v1/tracks/3cjF2OFRmip8spwZYQRKxP,audio_features,spotify:track:3cjF2OFRmip8spwZYQRKxP,0.209
long_term,Bound 2,Kanye West,0.134,https://api.spotify.com/v1/audio-analysis/3sNVsP50132BTNlImLx70i,0.359,229147.0,0.662,3sNVsP50132BTNlImLx70i,0.0,1.0,0.0907,-2.843,1.0,0.0466,152.096,4.0,https://api.spotify.com/v1/tracks/3sNVsP50132BTNlImLx70i,audio_features,spotify:track:3sNVsP50132BTNlImLx70i,0.288
long_term,Faded High,Gayngs,0.102,https://api.spotify.com/v1/audio-analysis/44Gke80KttYib3M9VqX9Kr,0.625,448467.0,0.82,44Gke80KttYib3M9VqX9Kr,0.65,1.0,0.107,-6.298,0.0,0.0295,137.967,4.0,https://api.spotify.com/v1/tracks/44Gke80KttYib3M9VqX9Kr,audio_features,spotify:track:44Gke80KttYib3M9VqX9Kr,0.45
long_term,Outro,M83,0.0301,https://api.spotify.com/v1/audio-analysis/2QVmiA93GVhWNTWQctyY1K,0.226,247027.0,0.261,2QVmiA93GVhWNTWQctyY1K,0.0677,2.0,0.0628,-11.276,1.0,0.0339,108.915,4.0,https://api.spotify.com/v1/tracks/2QVmiA93GVhWNTWQctyY1K,audio_features,spotify:track:2QVmiA93GVhWNTWQctyY1K,0.084
long_term,Outside with the Cuties,Frankie Cosmos,0.689,https://api.spotify.com/v1/audio-analysis/6L5ks2ivQVCLnI4JmIr9NT,0.524,154305.0,0.182,6L5ks2ivQVCLnI4JmIr9NT,0.000101,9.0,0.16,-13.155,1.0,0.0637,85.72,4.0,https://api.spotify.com/v1/tracks/6L5ks2ivQVCLnI4JmIr9NT,audio_features,spotify:track:6L5ks2ivQVCLnI4JmIr9NT,0.158
long_term,Downtown,Majical Cloudz,0.786,https://api.spotify.com/v1/audio-analysis/5iK8GmW2uiPuUc5CtkZrIK,0.382,249063.0,0.283,5iK8GmW2uiPuUc5CtkZrIK,0.00478,6.0,0.111,-9.357,1.0,0.0292,95.3,4.0,https://api.spotify.com/v1/tracks/5iK8GmW2uiPuUc5CtkZrIK,audio_features,spotify:track:5iK8GmW2uiPuUc5CtkZrIK,0.0441
long_term,No Role Modelz,J. Cole,0.302,https://api.spotify.com/v1/audio-analysis/62vpWI1CHwFy7tMIcSStl8,0.696,292987.0,0.521,62vpWI1CHwFy7tMIcSStl8,0.0,10.0,0.0565,-8.465,0.0,0.332,100.0,4.0,https://api.spotify.com/v1/tracks/62vpWI1CHwFy7tMIcSStl8,audio_features,spotify:track:62vpWI1CHwFy7tMIcSStl8,0.458
long_term,Forrest Gump,Frank Ocean,0.0998,https://api.spotify.com/v1/audio-analysis/4YZbVct8l9MnAVIROnLQdx,0.678,194840.0,0.386,4YZbVct8l9MnAVIROnLQdx,0.00124,2.0,0.384,-8.285,1.0,0.03,95.034,4.0,https://api.spotify.com/v1/tracks/4YZbVct8l9MnAVIROnLQdx,audio_features,spotify:track:4YZbVct8l9MnAVIROnLQdx,0.238
long_term,Israelites,Desmond Dekker,0.0811,https://api.spotify.com/v1/audio-analysis/6B1mi7lMKxdSuD40kxAIs9,0.798,156479.0,0.482,6B1mi7lMKxdSuD40kxAIs9,0.386,10.0,0.0872,-11.443,1.0,0.0473,146.815,4.0,https://api.spotify.com/v1/tracks/6B1mi7lMKxdSuD40kxAIs9,audio_features,spotify:track:6B1mi7lMKxdSuD40kxAIs9,0.972
long_term,Fool,Frankie Cosmos,0.301,https://api.spotify.com/v1/audio-analysis/2yOj1pyRC3NcvQyeZ3yAcL,0.511,124022.0,0.436,2yOj1pyRC3NcvQyeZ3yAcL,7.12e-05,9.0,0.255,-10.254,1.0,0.0409,120.207,4.0,https://api.spotify.com/v1/tracks/2yOj1pyRC3NcvQyeZ3yAcL,audio_features,spotify:track:2yOj1pyRC3NcvQyeZ3yAcL,0.342
long_term,Mine,Spirits of the Red City,0.943,https://api.spotify.com/v1/audio-analysis/4jwCTsvbTrX9AGwC7dbZ8b,0.732,228507.0,0.187,4jwCTsvbTrX9AGwC7dbZ8b,0.217,1.0,0.109,-13.914,1.0,0.0356,126.523,4.0,https://api.spotify.com/v1/tracks/4jwCTsvbTrX9AGwC7dbZ8b,audio_features,spotify:track:4jwCTsvbTrX9AGwC7dbZ8b,0.188
long_term,To Build A Home,The Cinematic Orchestra,0.885,https://api.spotify.com/v1/audio-analysis/3AqPL1n1wKc5DVFFnYuJhp,0.264,370667.0,0.128,3AqPL1n1wKc5DVFFnYuJhp,0.352,9.0,0.105,-15.443,1.0,0.034,148.499,4.0,https://api.spotify.com/v1/tracks/3AqPL1n1wKc5DVFFnYuJhp,audio_features,spotify:track:3AqPL1n1wKc5DVFFnYuJhp,0.0774
long_term,Forgive,Porches,0.115,https://api.spotify.com/v1/audio-analysis/1B8b1hIarGFkJmr7QqP55s,0.679,166813.0,0.546,1B8b1hIarGFkJmr7QqP55s,0.0032,7.0,0.0757,-5.781,1.0,0.0402,98.024,3.0,https://api.spotify.com/v1/tracks/1B8b1hIarGFkJmr7QqP55s,audio_features,spotify:track:1B8b1hIarGFkJmr7QqP55s,0.576
long_term,Chrysalis,S. Carey,0.956,https://api.spotify.com/v1/audio-analysis/6AKka4GmQYHOy624YSPCSh,0.573,224839.0,0.383,6AKka4GmQYHOy624YSPCSh,0.768,3.0,0.106,-18.81,1.0,0.0719,170.969,4.0,https://api.spotify.com/v1/tracks/6AKka4GmQYHOy624YSPCSh,audio_features,spotify:track:6AKka4GmQYHOy624YSPCSh,0.0814
long_term,English Summer,Other Lives,0.535,https://api.spotify.com/v1/audio-analysis/46VwBAhwm7qRWoo5wfxLx7,0.254,279719.0,0.39,46VwBAhwm7qRWoo5wfxLx7,0.278,2.0,0.0929,-10.634,1.0,0.0309,104.302,3.0,https://api.spotify.com/v1/tracks/46VwBAhwm7qRWoo5wfxLx7,audio_features,spotify:track:46VwBAhwm7qRWoo5wfxLx7,0.12
